Book,Character,F1,h,wF1,wh
Harry Potter,Sirius Black,0.4664953947067261,5.287947986857221e-17,0.4574556350708008,1.8085380198830572e-16
Harry Potter,Salazar Slytherin,0.5491923689842224,0.00181325399549744,0.5679243206977844,0.20506526970957686
Harry Potter,Aberforth Dumbledore,0.5063864588737488,9.934565178215815e-20,0.5599910020828247,3.896133518535175e-11
Harry Potter,Justin Finch-Fletchley,0.5136339068412781,2.6796111153797667e-06,0.533025324344635,2.4121297900821454e-05
Harry Potter,Marcus Flint,0.5348844528198242,0.01981037017666106,0.5329442620277405,0.09897235019487521
Harry Potter,Evan Rosier,0.4881301522254944,0.20028369473728674,0.5503441095352173,2.327005121487279
Harry Potter,Antonin Dolohov,0.5316038131713867,1.6755902092767982e-07,0.5660762190818787,0.010764072679956717
Harry Potter,Vernon Dursley,0.5145865082740784,4.001539631510328e-09,0.5178132057189941,8.891505213216369e-11
Harry Potter,Draco Malfoy,0.44596558809280396,2.7330575327671957e-16,0.41631340980529785,1.1533495604235158e-29
Harry Potter,Tom Riddle,0.4590625464916229,2.648548943284113e-45,0.45424920320510864,9.695222809590762e-43
Harry Potter,Rubeus Hagrid,0.4955039918422699,1.2244817309928648e-44,0.5233442783355713,1.2913039726694907e-22
Harry Potter,Severus Snape,0.4355282485485077,4.369461986790713e-69,0.45168402791023254,2.0811502619179976e-55
Harry Potter,Parvati Patil,0.5213645696640015,2.1060845523256395e-07,0.5632919073104858,2.1481254794398606e-05
Harry Potter,Fawkes,0.5319019556045532,0.00014629706842688665,0.5623999834060669,0.0002599711250481744
Harry Potter,Dean Thomas,0.50852370262146,1.4550621915975556e-07,0.522234320640564,1.0422410409114643e-08
Harry Potter,Katie Bell,0.5223886370658875,2.8343832604276324e-08,0.5240046977996826,4.831796528455948e-07
Harry Potter,Vincent Crabbe,0.475098580121994,1.049324925411977e-07,0.5186833143234253,0.0002868946700955954
Harry Potter,Bartemius Crouch Junior,0.5353787541389465,2.8171652428751673e-15,0.5413310527801514,3.19893308710978e-11
Harry Potter,Seamus Finnigan,0.5081967711448669,5.202524691147397e-07,0.5393355488777161,2.680666556863282e-06
Harry Potter,Harry Potter,0.4261776804924011,0.0,0.46009835600852966,1.641636349826618e-71
