Book,Character,F1,h,wF1,wh
The Hunger Games,Felix Ravinstill,0.5140994787216187,1.570545047804901,0.5395987629890442,1.7522629259509181
The Hunger Games,Lysistrata Vickers,0.530523419380188,0.011862547682069575,0.5598405003547668,0.034317440952381116
The Hunger Games,Lucretius Flickerman,0.48880311846733093,0.3311301477382859,0.5430733561515808,0.47123959861693093
The Hunger Games,Reaper Ash,0.4778136610984802,0.00032369726478698977,0.5199940204620361,0.009144831641574225
The Hunger Games,Mizzen,0.49942129850387573,0.0027858218807353566,0.5460163354873657,0.009693937882791217
The Hunger Games,Coral,0.48903003334999084,0.008026169252016649,0.5262603163719177,0.06488881141589437
The Hunger Games,Treech,0.47709935903549194,0.3687356863387556,0.49768611788749695,0.10496436997514144
The Hunger Games,Dill,0.510287880897522,0.16731067706592587,0.5264093279838562,0.3645071642658643
Dune,Darwi Odrade,0.5547276735305786,0.0023777699849880365,0.5509737133979797,0.0001683148322433756
Dune,Gurney Halleck/DE,0.5371991395950317,0.000995915502983046,0.53065425157547,1.8889342892045246e-06
Dune,Gurney Halleck/XD,0.5812786817550659,0.002851598153297397,0.5896949172019958,0.0006747805781368733
Dune,Gurney Halleck,0.4746912121772766,0.013254601227014565,0.5403727293014526,0.016329696783674335
Dune,Shaddam IV/DE,0.5163442492485046,5.8403072783939916e-05,0.5290622711181641,0.03620047167101076
Dune,Shaddam Corrino IV/XD,0.5232957005500793,0.0132099949936058,0.5245991349220276,0.0026714534821267026
Dune,Shaddam Corrino IV,0.49104011058807373,0.21617135185186473,0.5092676877975464,0.5253868339563927
Dune,Leto Atreides II/XD,0.5539118647575378,0.0002395121311618612,0.5575278401374817,7.92310942376672e-05
Dune,Leto Atreides II,0.5101075768470764,0.0009207827013981248,0.5217192769050598,0.00018390006253304292
Dune,Leto Atreides II/DE,0.5844083428382874,0.28463041363767205,0.5705158710479736,0.1796110815432925
Dune,Lucilla,0.5077373385429382,0.7368252249282593,0.5373562574386597,1.3430112354343922
Dune,Piter de Vries/XD,0.5244138240814209,0.08037013227549393,0.5408739447593689,1.04188984468758
Dune,Piter de Vries/DE,0.5334547758102417,1.206475887158343,0.5485161542892456,0.7674987987622112
Dune,Piter de Vries,0.5234078764915466,2.121741244796618,0.5473734140396118,2.341555622457318
Dune,Ghanima Atreides,0.5155541300773621,0.24997623207362557,0.5028332471847534,0.453167202126176
Dune,Ghanima Atreides/DE,0.5333755016326904,0.00022516982550321244,0.5358753204345703,0.017070715338752086
Dune,Jamis,0.4380188286304474,4.0357943122665017e-08,0.5405598878860474,0.06285812340731163
Dune,Glossu Rabban Harkonnen,0.5142450332641602,2.34971710324303,0.5398516654968262,3.508803037015137
Dune,Glossu Rabban Harkonnen/DE,0.5104581117630005,0.20438424801320998,0.5276192426681519,0.4052778912515056
Dune,Glossu Rabban Harkonnen/XD,0.5270261168479919,1.7693643309236209,0.5242121815681458,3.0217239012113146
Dune,Hwi Noree,0.5299132466316223,0.47673447426629334,0.5516391396522522,0.8540949176886722
Dune,Kailea Vernius,0.5170943737030029,0.37525166929022474,0.5739883184432983,0.7558099218848111
Dune,Helena Atreides,0.55311119556427,0.3863628588487818,0.5335257053375244,0.24562769733928272
Dune,Thufir Hawat,0.45643797516822815,0.0023243158719375837,0.5546550154685974,0.042010721707521646
Dune,Thufir Hawat/XD,0.5883517861366272,0.2831294254181646,0.5839338302612305,0.06470620441210144
Dune,Thufir Hawat/DE,0.519747257232666,3.119830796388917e-05,0.5188180208206177,1.775702250718335e-05
Dune,Kwisatz Haderach/XD,0.5626315474510193,0.007522167807847295,0.5605295300483704,0.0010206256884402031
Dune,Kwisatz Haderach,0.527566134929657,0.3652673873188247,0.5783027410507202,0.6787766995793216
Dune,Duncan Idaho/DE,0.5502409934997559,2.7087512958402863e-21,0.5494277477264404,4.537854057291077e-24
Dune,Duncan Idaho,0.46616852283477783,7.297284294208589e-05,0.44691070914268494,0.0002298764188940922
Dune,Duncan Idaho/XD,0.4983952045440674,3.079283812142128e-12,0.5058314204216003,4.939912765898457e-13
Dune,Paul Atreides,0.4406875669956207,2.358466546337092e-14,0.45515045523643494,2.737971189246936e-07
Dune,Paul Atreides/DE,0.5657684206962585,0.7007342296556064,0.5447960495948792,1.2082093457498633
Dune,Paul Atreides/XD,0.4414335787296295,1.797767716449246e-14,0.45888346433639526,2.6738810643367527e-11
Dune,Wellington Yueh/XD,0.5511261820793152,0.019883284528716842,0.5570575594902039,0.09761336090197906
Dune,Margot Fenring,0.5554811954498291,1.8864560703618556,0.5722024440765381,3.858722627527751
Dune,Margot Fenring/XD,0.526268720626831,0.015454007643459085,0.5649811625480652,0.12046281175788365
Dune,Wellington Yueh,0.49709874391555786,0.23251432400076755,0.5185472369194031,0.20335879891772726
Dune,Wellington Yueh/DE,0.5678286552429199,0.14739455728420509,0.5615184307098389,0.055509868012390655
Dune,Miles Teg,0.5230474472045898,0.08993979122652968,0.5156404376029968,0.1163706711457741
Dune,Miles Teg/XD,0.5298865437507629,0.24957727596370774,0.5409984588623047,0.0624331275773917
Dune,Murbella/XD,0.547292172908783,0.004209423452332432,0.573695957660675,0.009648865655033057
Dune,Murbella,0.5431306958198547,0.16475782096379474,0.5540927648544312,0.32099112857700324
Dune,Octa Butler,0.5055363774299622,1.1788144831676244,0.5349791646003723,0.9440785315735382
Dune,Mohandas Suk,0.49788346886634827,1.0267002706159707,0.540614664554596,1.529749728452501
Dune,Pardot Kynes,0.548527717590332,0.672247439672272,0.5399633049964905,0.08846217453921888
Dune,Pardot Kynes/XD,0.5676708221435547,0.5940142544878494,0.583835780620575,0.09219088633322127
Dune,Pardot Kynes/DE,0.5582734942436218,7.784306074210206e-06,0.5548366904258728,7.172481470672545e-07
Dune,Raquella Berto-Anirul,0.5327244997024536,0.2562112091315427,0.5556399822235107,1.244242900357726
Dune,Norma Cenva,0.5233030319213867,0.778264812852435,0.555372953414917,2.386279260997153
